counterparty_id,segment,region,risk_score,risk_band,top_signal,payment_delay_days,utilization_ratio,revenue_change,industry_stress,exposure
CP-16473,SMB,Europe,0.18751910738078442,Medium,Industry stress,20.0,0.663,0.149,0.81,1017101.0
CP-01690,Enterprise,Europe,0.18519587216674677,Medium,Industry stress,19.3,0.573,0.32,0.645,1699010.0
CP-14159,SMB,Asia Pacific,0.1642464431162532,Low,Prior events,17.2,0.555,0.285,0.681,2253617.0
CP-06306,Enterprise,North America,0.15480997890103257,Low,Industry stress,17.6,0.507,-0.031,0.813,1020992.0
CP-16383,Mid-market,Latin America,0.14263665621919885,Low,Utilization,10.3,0.783,-0.25,0.404,772250.0
CP-06273,SMB,Europe,0.14077212512717355,Low,Utilization,11.1,0.919,0.04,0.285,1357059.0
CP-11433,Mid-market,Europe,0.1405529622744036,Low,Utilization,10.3,0.979,0.225,0.47,1965557.0
CP-03825,Mid-market,North America,0.13332685780517312,Low,Revenue decline,13.2,0.521,-0.222,0.352,557765.0
CP-08493,Enterprise,North America,0.12397142559562027,Low,Utilization,14.5,0.726,-0.012,0.336,1206794.0
CP-11728,Enterprise,Europe,0.11770577369862757,Low,Utilization,11.5,0.809,0.059,0.219,2143928.0
CP-09358,SMB,Latin America,0.11487510305309995,Low,Payment delay,19.2,0.384,-0.195,0.442,1636394.0
CP-00408,Mid-market,Asia Pacific,0.10363330046069207,Low,Utilization,9.7,0.682,0.153,0.501,1529388.0
CP-10427,Mid-market,Europe,0.09014940748320575,Low,Industry stress,21.0,0.399,-0.172,0.605,1518382.0
CP-14754,Mid-market,Europe,0.08787669859935367,Low,Payment delay,16.5,0.284,0.165,0.304,429284.0
CP-13189,SMB,Latin America,0.0832087058049572,Low,Industry stress,10.0,0.632,0.063,0.757,663092.0
CP-09026,Mid-market,Latin America,0.06786775034377973,Low,Payment delay,21.0,0.28,0.167,0.505,1163430.0
CP-05488,Mid-market,Asia Pacific,0.06667153094090544,Low,Revenue decline,12.7,0.341,-0.163,0.248,870372.0
CP-15333,SMB,Europe,0.06300667528978447,Low,Utilization,11.4,0.787,0.077,0.22,516938.0
CP-18434,SMB,Asia Pacific,0.055493953173277204,Low,Industry stress,13.1,0.407,0.084,0.557,2044705.0
CP-01081,SMB,Latin America,0.0489489581652685,Low,Industry stress,13.7,0.404,0.032,0.514,2458950.0
CP-00917,SMB,Latin America,0.04244373830020287,Low,Utilization,8.8,0.366,-0.034,0.132,1211955.0
CP-18712,Enterprise,Europe,0.04110004387507391,Low,Utilization,6.5,0.308,0.083,0.159,3110901.0
